jenjang_kelas_1,count
SD Kelas 1,8
2 SD,7
TK A,7
SD kelas 1,6
Kelas 3,5
SD kelas 2,5
SMP kelas 7,4
TK B,4
SD Kelas 3,3
SD kelas 6,3
SD Kelas 2,3
SD KELAS 1,3
SD Kelas 5,3
Lainnya,2
Kelas 1,2
SD kelas 5,2
SMP Kelas 1,2
Kelas 5,2
SD kelas 4,2
kelas 7,2
"Smp, kelas 1/7",2
SMA kelas 10,2
XI,2
SD KELAS 2,1
TKA,1
SD kls 5,1
kelas 1,1
Kls 2,1
V,1
4,1
10,1
SD KELAS 3,1
SMA kelas 11,1
SMP kelas 1,1
semester 4,1
III,1
sma kelas 10,1
Sd kelas 2,1
Kelas 7,1
SMK KELAS 2 (11),1
1,1
6,1
VIII,1
SD Kelas V,1
Tk B,1
VII,1
SMA kelas 1,1
Kelas 1 SD,1
SMP kelas 8,1
MTS / SMP KELAS 1,1
Kb,1
TK,1
SMP Kelas 9,1
kelas 4,1
VI,1
sd kelas 3,1
11 smk,1
Tk b,1
X,1
