id_rapor_format,id_kursus,judul_rapor,urutan
F00001,K00001,CLASSROOM ASSESSMENT,1
F00002,K00001,END OF TERM TEST,2
F00003,K00001,CLASS REMARKS,3
F00004,K00001,CLASSROOM ASSESSMENT,1
F00005,K00001,END OF TERM TEST,2
F00006,K00001,CLASS REMARKS,3
F00007,K00001,CLASSROOM ASSESSMENT,1
F00008,K00001,END OF TERM TEST,2
F00009,K00001,CLASS REMARKS,3
F00010,K00003,CLASSROOM ASSESSMENT,1
F00012,K00003,CLASS REMARKS,3
F00013,K00004,CLASSROOM ASSESSMENT,1
F00015,K00004,CLASS REMARKS,3
F00016,K00002,Classroom Assessment,1
F00017,K00002,Final Project Activity,2
F00018,K00002,Class Remarks,3
F00019,K00009,Learning Assessment,1
F00020,K00010,CLASSROOM ASSESSMENT,1
F00021,K00010,END OF SEMESTER TEST,2
F00022,K00010,CLASS REMARKS,3
F00023,K00010,CLASSROOM ASSESSMENT,1
F00024,K00010,END OF SEMESTER TEST,2
F00025,K00010,CLASS REMARKS,3
F00026,K00010,CLASSROOM ASSESSMENT,1
F00027,K00010,END OF SEMESTER TEST,2
F00028,K00010,CLASS REMARKS,3
F00029,K00010,CLASSROOM ASSESSMENT,1
F00030,K00010,END OF SEMESTER TEST,2
F00031,K00010,CLASS REMARKS,3
F00032,K00014,Classroom Assessment,1
F00033,K00014,Final Project Activity,2
F00034,K00014,Class Remarks,3
F00035,K00012,Classroom Assessments,1
F00036,K00012,Final Project Activity,2
F00037,K00012,Class Remarks,3
F00038,K00015,CLASSWORK ASSESSMENT,1
F00039,K00015,END OF TERM,2
F00040,K00015,CLASS REMARKS,3
F00042,K00019,CLASSROOM ASSESSMENT,1
F00043,K00019,END OF SEMESTER TEST,2
F00044,K00019,CLASS REMARKS,3
