role_id,model_type,model_id,id_division
3,App\Models\User,U00003,4
1,App\Models\User,U00003,7
3,App\Models\User,U00011,6
1,App\Models\User,U00011,7
2,App\Models\User,U00012,6
1,App\Models\User,U00012,7
6,App\Models\User,U00014,3
2,App\Models\User,U00014,3
1,App\Models\User,U00014,7
3,App\Models\User,U00015,3
1,App\Models\User,U00015,2
3,App\Models\User,U00016,6
3,App\Models\User,U00016,4
1,App\Models\User,U00016,7
4,App\Models\User,U00018,3
5,App\Models\User,U00018,3
7,App\Models\User,U00018,3
1,App\Models\User,U00018,7
3,App\Models\User,U00019,4
1,App\Models\User,U00019,7
3,App\Models\User,U00020,6
1,App\Models\User,U00020,7
3,App\Models\User,U00023,4
3,App\Models\User,U00023,6
1,App\Models\User,U00023,7
3,App\Models\User,U00026,6
3,App\Models\User,U00026,4
1,App\Models\User,U00026,7
1,App\Models\User,U00030,1
3,App\Models\User,U00031,4
1,App\Models\User,U00031,7
3,App\Models\User,U00032,4
1,App\Models\User,U00032,7
4,App\Models\User,U00033,5
3,App\Models\User,U00033,6
3,App\Models\User,U00033,4
1,App\Models\User,U00033,7
3,App\Models\User,U00034,6
3,App\Models\User,U00034,4
1,App\Models\User,U00034,7
3,App\Models\User,U00035,4
1,App\Models\User,U00035,7
3,App\Models\User,U00036,4
1,App\Models\User,U00036,7
3,App\Models\User,U00037,4
1,App\Models\User,U00037,7
3,App\Models\User,U00038,4
1,App\Models\User,U00038,7
3,App\Models\User,U00040,4
1,App\Models\User,U00040,7
6,App\Models\User,U00041,5
1,App\Models\User,U00041,7
6,App\Models\User,U00042,5
1,App\Models\User,U00042,7
7,App\Models\User,U00043,5
1,App\Models\User,U00043,7
3,App\Models\User,U00044,4
1,App\Models\User,U00044,7
6,App\Models\User,U00046,5
1,App\Models\User,U00046,7
3,App\Models\User,U00047,4
1,App\Models\User,U00047,7
3,App\Models\User,U00048,4
1,App\Models\User,U00048,7
6,App\Models\User,U00049,5
1,App\Models\User,U00049,7
3,App\Models\User,U00050,4
1,App\Models\User,U00050,7
6,App\Models\User,U00052,5
3,App\Models\User,U00052,6
1,App\Models\User,U00052,7
3,App\Models\User,U00053,4
1,App\Models\User,U00053,7
6,App\Models\User,U00054,5
1,App\Models\User,U00054,7
2,App\Models\User,U00055,5
1,App\Models\User,U00055,7
7,App\Models\User,U00056,5
1,App\Models\User,U00056,7
3,App\Models\User,U00057,4
1,App\Models\User,U00057,7
3,App\Models\User,U00058,4
1,App\Models\User,U00058,7
3,App\Models\User,U00059,4
1,App\Models\User,U00059,7
3,App\Models\User,U00060,4
1,App\Models\User,U00060,7
3,App\Models\User,U00061,4
1,App\Models\User,U00061,7
6,App\Models\User,U00062,5
1,App\Models\User,U00062,7
3,App\Models\User,U00063,4
1,App\Models\User,U00063,7
3,App\Models\User,U00064,4
1,App\Models\User,U00064,7
3,App\Models\User,U00065,4
1,App\Models\User,U00065,7
3,App\Models\User,U00066,4
1,App\Models\User,U00066,7
3,App\Models\User,U00067,4
1,App\Models\User,U00067,7
2,App\Models\User,U00068,5
1,App\Models\User,U00068,7
3,App\Models\User,U00069,4
1,App\Models\User,U00069,7
